구분,상호,업종,소재지,주소,전화번호,할인내용
64,돌집식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로12길 30-3,043-832-2056,이용금액의 3%할인
65,동궁쉼터,음식업,괴산군,충청북도 괴산군  칠성면 쌍곡로1길 89,043-832-4855,다자녀우대카드이용결제시3%할인
66,동부식당,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로 56-1,043-834-2144,동반 자녀당 음료수 1병씩 제공
67,동원칼라,사진업,괴산군,충청북도 괴산군 읍내로12길 28,043-832-0101,이용금액의10% 할인
68,동천주막촌,음식업,괴산군,충청북도 괴산군 청천면 도경로 40,043-832-6919,가족동반 30000원 이상결제시 5% 할인
69,돼지먹는 날 정육식당,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1337 ,043-832-2262,이용금액의 5% 할인
70,두레박 감자탕,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 48-1,043-832-2235,이용금액의 3% 할인
71,두천매운탕,음식업,괴산군,충청북도 괴산군 칠성면 괴강로 308,043-832-3210,다자녀우대카드 소지시 5%할인
72,라따투이,음식업,괴산군,충청북도 괴산군  괴산읍 읍내로12길 12,,다자녀우대카드이용결제시3%할인
73,라면국물포차(괴산점),음식업,괴산군,충청북도 괴산군 괴산읍 읍내로11길8-8,043-834-8889,다자녀우대카드 결재시 5% 할인
74,레인보우펜션식당,음식업,괴산군,충청북도 괴산군 청천면 화양로 1449,043-833-8776,이용금액의10% 할인
75,만리장성,음식업,괴산군,충청북도 괴산군 칠성면 도정로 57,043-834-9911,이용금액의 3% 할인
76,만추식당,음식업,괴산군,충청북도 괴산군 장연면 미선로 757,043-832-1886,다자녀가정 10%할인
77,맛고을,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 311,043-834-7481,이용금액의 3% 할인
78,맛소식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 27-5,043-832-5533,주말 3자녀이상 동행 가족 10% 할인
79,머리하기 좋은날,미용업,괴산군,충청북도 괴산군 청천면 괴산로 1341,043-832-8128,컷트시 20% 할인
80,멍석집,음식업,괴산군,충청북도 괴산군 칠성면 도정로 61,043-832-3636,이용금액의 3% 할인
81,멕시카나치킨,음식업,괴산군,충청북도 괴산군  괴산읍 동부리 646-3,043-834-1009,다자녀우대카드 결제시3%할인
82,명가,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로9길 21,043-834-0884,이용금액의 3% 할인
83,모던한끼,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로9길8,070-7655-0819,다자녀우대카드결제시3%할인
84,모래재가든,음식업,괴산군,충청북도 괴산군 청안면 사리로 230,043-836-7399,3자녀이상고객중 5만원이상 결재시 5%할인
85,모래재가든,음식업,괴산군,충청북도 괴산군 사리면 사리로 230,043-836-7399,이용금액의 3% 할인
86,목도민물고기집식당,음식업,괴산군,충청북도 괴산군 감물면 오창로 582,043-832-7153,매주목요일 가족동반시10%할인
87,목도영양탕,음식업,괴산군,충청북도 괴산군 불정면 목도로1길 3 ,043-833-7442,음료수 서비스 제공
88,무지개 세탁소,세탁업,괴산군,충청북도 괴산군 괴산읍 읍내로11길 20,043-833-0486,3자녀이상 가족고객 방문시 10% 할인 
89,문화식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로10길 8,043-832-3359,주말3자녀중 2자녀이상 동행 가족 10% 할인
90,문화카클리닉,서비스업,괴산군,충청북도 괴산군 괴산읍 동부리 655-1,043-834-2255,이용금액의 3% 할인
91,미가 동태탕 찜,음식업,괴산군,충청북도 괴산군 칠성면 갈읍리 177-10,043-832-7892,이용금액의 3% 할인
92,미각루,음식업,괴산군,충청북도 괴산군 청안면 금평로 462-1,043-832-5051,다자녀 카드결제시 5% 할인
93,미담추어탕,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로18길 24-1,043-833-7999,이용금액의 3% 할인
94,미락추어탕,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로 17 ,043-834-2009,매주 월요일 세자녀이상 가족동반시 5%할인
95,미래식당,음식업,괴산군,충청북도 괴산군 칠성면 도정로 64,043-832-3334,이용금액의 3% 할인
96,바다양푼이동태탕&코다리,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로15길 46,043-834-0101,이용금액의 3% 할인
97,바울어린이집,유치원,괴산군,충청북도 괴산군 괴산읍 읍내로13길 47,043-834-2981,2자녀 입학시 둘째자녀 입학금 50% 할인 및 입학용품 50% 할인
98,박조영헤어클럽,미용업,괴산군,충청북도 괴산군 괴산읍 읍내로9길 15,043-833-8000,이용금액의 5% 할인
99,반달정육식당,음식업,괴산군,충청북도 괴산군 칠성면 칠성로 1,043-832-2239,이용금액의 3% 할인
100,방곡식당,음식업,괴산군,충청북도 괴산군 장연면 충민로 1568-1,043-832-7214,다자녀우대카드 소지시 3%할인
101,백로반점,중식,괴산군,충청북도 괴산군 청천면 청천2길 5,043-832-4415,이용금액의 5% 할인
102,백봉휴게소,음식업,괴산군,충청북도 괴산군  청안면 질마로 1118,043-832-3462,다자녀우대카드이용결제시3%할인
103,별난만두,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1350,043-832-0494,이용금액의 3% 할인
104,별미식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로6길 20-5,043-832-4693,가족동반시 음료수 제공
105,병풍잔치방,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로동부1길 14-8,043-833-3516,매주 화요일 세자녀이상 가족동반시 5%할인
106,본래순대,음식업,괴산군,충청북도 괴산군 칠성면 도정로 3길 11,043-833-2733,이용금액의 3% 할인
107,부흥방앗간,제조업,괴산군,충청북도 괴산군 청안면 괴산로 2119-12,043-832-9054,이용금액의 3% 할인
108,불정석유,석유,괴산군,충청북도 괴산군 불정면 한불로 1196,043-833-4855,다자녀우대카드결제시3%할인
109,불정식당,음식업,괴산군,충청북도 괴산군 불정면 목도로1길 14,043-833-8428,이용금액의 3% 할인
110,비악산식당,음식업,괴산군,충청북도 괴산군 칠성면 쌍곡로 460,043-832-5833,이용금액의 3%할인
111,비호체육관,서비스업,괴산군,충청북도 괴산군 괴산읍 읍내로4길 31,043-833-1293,이용금액의 3% 할인
112,사나이짬뽕,음식업,괴산군,충청북도 괴산군  청천면 덕평리 206-11,043-832-0066,다자녀우대카드결제시3%할인
113,사랑방 염소,음식업,괴산군,충청북도 괴산군 소수면 원소로 1105-32,043-832-8090,이용금액의 5% 할인
114,사리공판장,식품 소매업,괴산군,충청북도 괴산군 사리면 방축길 61,043-836-0332,주말 3자녀 이상 결재시 5%할인
115,산들가든,음식업,괴산군,충청북도 괴산군 문광면 모래재로 1241 ,043-832-1926,이용금액의 10%할인
116,산들마루,음식업,괴산군,충청북도 괴산군 칠성면 쌍곡로 580 ,043-832-5739,이용금액의 5% 할인
117,산막이 짚은목 맛집,음식업,괴산군,충청북도 괴산군 칠성면 산막이옛길 80-7,043-834-0832,이용금액의 3% 할인
118,산막이 짚은목 맛집,음식업,괴산군,충청북도 괴산군 칠성면 산막이옛길 80-4,043-834-0832,이용금액의 3% 할인
119,산막이골,음식업,괴산군,충청북도 괴산군 칠성면 괴강로 648,043-833-6822,이용금액의 3% 할인
120,산막이원조 두부마을,음식업,괴산군,충청북도 괴산군 칠성면 산막이옛길 80-8,043-834-3223,이용금액의 3% 할인
121,산수식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로12길 32,043-832-0220,매주 일요일 세자녀이상 동행시 음료수제공
122,삼미순대,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로7길 4,043-833-3289,이용금액의 3% 할인
123,삼성전자괴산프라자,가전제품,괴산군,충청북도 괴산군 괴산읍 읍내로 293,043-833-3366,현금결재시 5%할인
124,상록숯불갈비,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로17길8,043-833-1084,다자녀우대카드 결재시 5% 할인
125,상하이,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 296 ,043-834-6633,매주화요일 세자녀이상 가족동반시 5%할인
126,새재황토방,음식업,괴산군,충청북도 괴산군 연풍면 새재로1833,043-833-5506,다자녀카드 소지 가족 5% 할인
127,샤브향기,음식업,괴산군,충청북도 괴산군  괴산읍 읍내로 310,043-832-7200,다자녀우대카드이용결제시3%할인
128,서해바지락칼국수,한식,괴산군,충청북도 괴산군 청안면 청안읍내로10길 8,,이용금액의 3% 할인
129,석미용실,미용업,괴산군,충청북도 괴산군 괴산읍 읍내로 135,043-833-1378,컷트시 3% 할인
130,선비고을,음식업,괴산군,충청북도 괴산군 청안면 청안읍내로 17,043-836-1106,다자녀 카드결제시 10% 할인
131,선일식당.정육점,음식업,괴산군,충청북도 괴산군 감물면 남양동1길 2,043-833-9023,매주수요일 3만원이상 이용시 10%할인
132,성례네순대,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로 동부1길14-10,043-834-0030,이용금액의 5% 할인
133,성환식당,식품업,괴산군,충청북도 괴산군 괴산읍 읍내로13길 13,043-832-4237,이용금액의 3% 할인
134,소리샘 보청기,보청기,괴산군,충청북도 괴산군 괴산읍 읍내로 288,043-832-1788,이용금액의 3% 할인
135,소반식당,음식업,괴산군,충청북도 괴산군 읍내로11길 20-1,043-833-5590,이용금액의 2% 할인
136,소수식당,음식업,괴산군,충청북도 괴산군 소수면 소수로 156,043-832-8157,2자녀이상가족 동행시 10%할인
137,손맛두부촌,음식업,괴산군,충청북도 괴산군 청안면 질마로 1466,043-832-8423,현금결제시 5% 할인
138,솔뫼골식당,음식업,괴산군,충청북도 괴산군 청천면 문장로 3096 ,043-833-7959,이용금액의 3%할인
139,솔바위,음식업,괴산군,충청북도 괴산군 칠성면 산막이옛길 56,043-832-3527,이용금액의 3% 할인
140,솔밭식당,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1344,043-832-4226,이용금액의 3% 할인
141,송림가든,음식업,괴산군,충청북도 괴산군 청천면 문장로 3079,043-833-8249,이용금액의 3% 할인
142,송쌤 수제햄 부대찌개,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로10길 20,043-833-2722,이용금액의 3% 할인
143,송이가든펜션,음식업,괴산군,충청북도 괴산군 청천면 화양로 1461,043-833-0884,이용금액의 5% 할인
144,송이버섯마을,음식업,괴산군,충청북도 괴산군 칠성면 쌍곡로 527,043-834-3117,셋째자녀 이상 출산가정 5% 할인혜택 제공
145,송평해장국,음식업,괴산군,충청북도 괴산군 문광면 괴산로 3322,043-832-2007,5만원 이상 결재시 3천원 할인(6% 할인)
146,수목화원,생화,괴산군,충청북도 괴산군 괴산읍 읍내로 231,043-834-0789,다자녀카드 소지 및 3만원이상 구매시 5% 할인
147,수미포장마차,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로13길 9-4,043-833-8469,5만원 현금결재시 3%할인
148,수민헤어샵,미용업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 43,043-834-7797,현금사용시 10%할인(컷트제외)
149,순대촌,음식업,괴산군,충청북도 괴산군 청천면 청천2길 7,043-832-4373,이용금액의 3% 할인
150,순미용실,미용업,괴산군,충청북도 괴산군 불정면 목도로3길 10,043-833-7152,이용금액의 5% 할인
151,숯과소금,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로15길 40-1 로뎀빌2층,043-833-9292,이용금액의 3% 할인
152,승리학원,보습학원,괴산군,충청북도 괴산군 괴산읍 읍내로4길 17,043-832-9512,두자녀 이상 수강시 각 1만원씩 할인
153,시골밥상,음식업,괴산군,충청북도 괴산군  감물면 충민로 774,043-834-7704,일일할인 1000원
154,신기횟집,음식업,괴산군,충청북도 괴산군 문광면 괴산로신기2길  8-25,043-834-1569,매주월요일 가족동반시10%할인(아이포함)
155,신단설렁탕,음식업,괴산군,충청북도 괴산군  괴산군 읍내로18길 13,043-834-2000,다자녀우대카드결제시3%할인
156,신촌가든,음식업,괴산군,충청북도 괴산군 문광면 광덕길 34,043-832-2854,다자녀가정 10%할인(수요일)
157,쌍곡금호쉼터,음식업,괴산군,충청북도 괴산군 칠성면 쌍곡로 5,043-832-7566,이용금액의 3%할인
158,쌍둥이방앗간,제조업,괴산군,충청북도 괴산군 청천면 괴산로 1330,043-832-4261,이용금액의10% 할인
159,써니가든,음식업,괴산군,충청북도 괴산군 괴산읍 임꺽정로 161,,다자녀우대카드이용결제시3%할인
160,아산식당,음식업,괴산군,충청북도 괴산군 칠성면 도정리 285,043-833-8411,이용금액의 3% 할인
161,아이벗치킨,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1337,043-833-9702,이용금액의 3% 할인
162,안동식당,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1333,043-832-7287,이용금액의 5% 할인
163,안동식당,음식업,괴산군,충청북도 괴산군  청천면 괴산로 1333,043-832-8603,다자녀우대카드결제시3%할인
164,알콩달콩,음식업,괴산군,충청북도 괴산군  칠성면 도정로 86,043-832-6001,다자녀우대카드이용결제시3%할인
165,앤츠,읍식업,괴산군,충청북도 괴산군  괴산읍 읍내로 11길 8-3,043-834-0834,다자녀우대카드결제시3%할인
166,양반고을,음식업,괴산군,충청북도 괴산군 청천면 청천5길 18-6,043-832-2627,현금결제시 10%할인
167,양지사진관,사진업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 49,043-832-2348,3자녀(초등학생이하구성된)가족촬영시 20%할인
168,얼음골식당,음식업,괴산군,충청북도 괴산군 감물면 충민로 1085,043-833-9117,매주화요일 가족동반시10%할인
169,엄니네,음식업,괴산군,충청북도 괴산군  불정면 목도로 43,043-832-1111,다자녀우대카드이용결제시3%할인
170,엄마밥상,음식업,괴산군,충청북도 괴산군  청안면 부흥리 괴산로 2103-1 ,,다자녀우대카드이용결제시3%할인
171,에덴건강원,제조업,괴산군,충청북도 괴산군 청천면 청천3길 11,043-832-4345,이용금액의 5% 할인
172,연미용실,미용업,괴산군,충청북도 괴산군 청천면 청천3길 4,043-832-4707,다자녀카드 결재시 3% 할인
173,연풍양돈조합식당,음식업,괴산군,충청북도 괴산군 연풍면 중앙로 28 ,043-833-9922,이용금액의 3%할인
174,열린안경,안경,괴산군,충청북도 괴산군 괴산읍 읍내로 300,043-833-0437,다자녀우대카드 소지시 30% 할인
175,영수전력공사,전기,괴산군,충청북도 괴산군 괴산읍 읍내리 14길1,043-833-4989,다자녀우대카드 소지시 5% 할인
176,영심이 치킨,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1353,043-832-9981,이용금액의 3% 할인
177,영희네 부대찌개,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 2길 44,043-833-8811,현금사용시 5%할인
178,옛날병천순대,음식업,괴산군,충청북도 괴산군 문광면 광덕1길 37,043-832-8400,매주월요일 가족동반 이용금액의 10% 할인
179,옛날식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로6길 7,043-834-2747,주말 가족동반시10%할인(아이포함)
180,오가리방앗간,즉석판매제조,괴산군,충청북도 괴산군 장연면 미선로오가1길 2,043-832-7018,이용금액의 3% 할인
181,오광식당,음식업,괴산군,충청북도 괴산군 칠성면 도정로 79,043-832-5225,주말3자녀이상 동행가족에 한하여 10%할인다자녀 카드 결제시 10%할인자녀생일시 30%할인
182,오복세탁소,세탁업,괴산군,충청북도 괴산군 괴산읍 읍내로 306,043-833-1780,3만원 이상시 3000원 할인(10% 할인)
183,오분땡,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 11길 14,043-832-6369,이용금액의 3% 할인
184,오시오전선생,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로9길9,043-832-3023,다자녀우대카드 소지시 3%할인
185,올갱이마을,음식업,괴산군,충청북도 괴산군 청천면 금관로 480,043-832-0544,이용금액의 5% 할인
186,옴파로스신발백화점,소매업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 71,043-832-2159,판매가격의 10%할인
187,용궁,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로10길19,043-833-2207,이용금액의 5% 할인
188,우리매운탕,음식업,괴산군,충청북도 괴산군 괴산읍 괴강로느티울길 8-2,043-834-0005,매주수요일 세자녀이상 가족동반 식사시 5%할인(30000원이상)
189,우리분식,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로5길 12-1,043-833-2037,다자녀우대카드 결재시 3% 할인
190,우리한식,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1331,043-832-4218,이용금액의 5% 할인
191,울엄마 양평해장국(청천점),음식업,괴산군,충청북도 괴산군 청천면 청천리 64-1,043-833-0787,이용금액의 5% 할인
192,원가네,음식업,괴산군,충청북도 괴산군 청안면 청안읍내로2길 11-10,043-836-1117,이용금액의 3% 할인
193,유명식당,음식업,괴산군,충청북도 괴산군 감물면 감물로 583,043-833-3953,다자녀우대카드 소지시 5% 할인
194,은자네동태탕 생선구이,음식업,괴산군,충청북도 괴산군  괴산읍 괴강로 17,043-833-5562,다자녀우대카드이용결제시3%할인
195,은행나무집,음식업,괴산군,충청북도 괴산군 문광면 광덕1길 26,043-834-2950,매주토요일 가족동반 이용금액의10% 할인
196,의정부부대찌개,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 15길 39-6,043-833-0445,세자녀이상 동반 및 다자녀카드 소지시 10% 할인
197,이문희음악학원,학원,괴산군,충청북도 괴산군 괴산읍 읍내로2길 46,043-832-0326,한가정 두아이 수강시 1만원씩 할인
198,이서방양념치킨,음식업,괴산군,충청북도 괴산군 칠성면 도정로 72,043-832-9603,주말3자녀이상 동행가족 10%할인 매주수요일 3자녀이상 동행가족에 한해 20%할인
199,일억식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로18길 23 ,043-833-0950,주말 3자녀이상 동행시 10% 할인
200,일흥식당,음식업,괴산군,충청북도 괴산군 사리면 방축길 33 ,043-836-7019,이용금액의 3%할인
201,자연산버섯마을,음식업,괴산군,충청북도 괴산군 청안면 청안읍내로 50,043-836-9016,매주 일요일 가족식사에 한해 5%할인
202,장안식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로5길 16,043-832-0109,다자녀우대카드 소지시 5%할인
203,장여옥헤어샵,미용업,괴산군,충청북도 괴산군 청천면 청천리 62-6,043-836-3506,이용금액의 10% 할인
204,장터국수,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 26-1,043-833-0211,3자녀이상 동행 가족 10% 할인
205,장터순대,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로15길 26,043-833-1185,3만원이상 현금결재 3%할인
206,재은네 식당,음식업,괴산군,충청북도 괴산군 칠성면 도정로 62,043-832-2089,이용금액의 5% 할인
207,제일빵집,제과점,괴산군,충청북도 괴산군 청천면 괴산로 1342 ,043-832-4374,다자녀카드 소지 가족 5% 할인
208,제일어린이집,유치원,괴산군,충청북도 괴산군 괴산읍 읍내로15길 47-46,043-832-2449,두자녀입학시 입학금 전액 면제가방무료증정
209,제일축산물식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로13길 17,043-832-0606,3자녀 이상 가구동반 이용시 음료수 1명 무료 제공
210,제중한식촌,음식업,괴산군,충청북도 괴산군 청안면 청안읍내로 40,043-836-9261,가족식사에 한해 5%할인
211,주성 D/C 아울렛,기타식품,괴산군,충청북도 괴산군 괴산읍 괴강로 동부2길 8,043-833-2555,이용금액의 3% 할인
212,중앙닭집식당,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 319,043-833-0414,이용금액의 3%할인
213,중앙불고기,음식업,괴산군,충청북도 괴산군 청천면 괴산로 1334,043-832-4353,가족동반시 30000이상결재시5%할인
214,중앙이발관,이용업,괴산군,충청북도 괴산군 괴산읍 읍내로2길 53,043-832-1358,자녀동행시 10%할인
215,즐거운날,음식업,괴산군,충청북도 괴산군 괴산읍 읍내로 2길 33,043-833-1193,이용금액의 3% 할인
